"","Name","Position","Age","Team_from","League_from","Team_to","League_to","Season","Market_value","Transfer_fee","Price_diff","League_type_from","League_type_to"
"1000","Carlos Tévez","Second Striker",20,"Boca Juniors","Primera División","Corinthians","Serie A","2004",15,15,0,"Americas","Big5"
"1002","Valeri Bojinov","Centre-Forward",18,"Lecce","Serie A","Fiorentina","Serie A","2004",13,14,1,"Big5","Big5"
"1005","Jiri Jarosik","Centre-Back",27,"CSKA Moscow","Russian Premier Liga","Chelsea","Premier League","2004",5,12,7,"Europe","Big5"
"1010","Jean-Alain Boumsong","Centre-Back",25,"Rangers","Premiership","Newcastle","Premier League","2004",8.5,11.3,2.8,"Europe","Big5"
"1012","Nicolas Anelka","Centre-Forward",25,"Man City","Premier League","Fenerbahce","Süper Lig","2004",15,10.7,-4.3,"Big5","Europe"
"1014","Carlos Alberto","Attacking Midfield",20,"FC Porto","Liga NOS","Corinthians","Serie A","2004",6,10,4,"Europe","Big5"
"1022","Fernando Morientes","Centre-Forward",28,"Real Madrid","LaLiga","Liverpool","Premier League","2004",15,9.25,-5.75,"Big5","Big5"
"1024","James Beattie","Centre-Forward",26,"Southampton","Premier League","Everton","Premier League","2004",10,9,-1,"Big5","Big5"
"1032","Andy Reid","Left Midfield",22,"Nottm Forest","Championship","Spurs","Premier League","2004",3.5,8,4.5,"Big5 B","Big5"
"1037","Derlei","Centre-Forward",29,"FC Porto","Liga NOS","Dinamo Moscow","Russian Premier Liga","2004",10,7.5,-2.5,"Europe","Europe"
"1042","Barry Ferguson","Defensive Midfield",27,"Blackburn","Premier League","Rangers","Premiership","2004",5.25,7.25,2,"Big5","Europe"
"1044","Michael Dawson","Centre-Back",21,"Nottm Forest","Championship","Spurs","Premier League","2004",1,7,6,"Big5 B","Big5"
"1050","Giampaolo Pazzini","Centre-Forward",20,"Atalanta","Serie A","Fiorentina","Serie A","2004",3,6.5,3.5,"Big5","Big5"
"1053","Luciano Figueroa","Centre-Forward",23,"CD Cruz Azul","Liga MX","Villarreal CF","LaLiga","2004",3.25,6.2,2.95,"Americas","Big5"
"1055","Dean Ashton","Centre-Forward",21,"Crewe Alexandra","Championship","Norwich","Premier League","2004",0.75,6,5.25,"Big5 B","Big5"
"1064","Stephen Makinwa","Centre-Forward",21,"Genoa","Serie B","Atalanta","Serie A","2004",0.2,5.4,5.2,"Big5 B","Big5"
"1068","Fabricio Coloccini","Centre-Back",23,"AC Milan","Serie A","Dep. La Coru?a","LaLiga","2004",8,5,-3,"Big5","Big5"
"1069","Franck Ribéry","Left Winger",21,"FC Metz","Ligue 1","Galatasaray","Süper Lig","2004",4.5,5,0.5,"Big5","Europe"
"1079","Angelos Charisteas","Centre-Forward",24,"Werder Bremen","Bundesliga","AFC Ajax","Eredivisie","2004",6,4.9,-1.1,"Big5","Europe"
"1081","Robbie Savage","Central Midfield",30,"Birmingham","Premier League","Blackburn","Premier League","2004",5,4.5,-0.5,"Big5","Big5"
"1089","Clemente Rodríguez","Left-Back",23,"Boca Juniors","Primera División","Spartak Moscow","Russian Premier Liga","2004",3.5,4,0.5,"Americas","Europe"
"1090","Radoslav Kovac","Centre-Back",25,"Sparta Praha","HET Liga","Spartak Moscow","Russian Premier Liga","2004",0.05,4,3.95,"Europe","Europe"
"1091","Robert","Centre-Forward",23,"Atlas","Liga MX","PSV Eindhoven","Eredivisie","2004",0.05,4,3.95,"Americas","Europe"
"1102","Thomas Buffel","Right Winger",23,"Feyenoord","Eredivisie","Rangers","Premiership","2004",5.5,3.5,-2,"Europe","Europe"
"1103","Dudu Cearense","Central Midfield",21,"Kashiwa Reysol","J1 League","CSKA Moscow","Russian Premier Liga","2004",2.5,3.5,1,"Asia Africa","Europe"
"1114","Thomas Gravesen","Defensive Midfield",28,"Everton","Premier League","Real Madrid","LaLiga","2004",6,3.4,-2.6,"Big5","Big5"
"1119","Cristian Silvestri","Centre-Back",29,"Lecce","Serie A","Catania","Serie B","2004",1.25,3.2,1.95,"Big5","Big5 B"
"1121","Nigel Quashie","Central Midfield",26,"Portsmouth","Premier League","Southampton","Premier League","2004",2.5,3.15,0.65,"Big5","Big5"
"1122","Amdy Fayé","Defensive Midfield",27,"Portsmouth","Premier League","Newcastle","Premier League","2004",3,3,0,"Big5","Big5"
"1123","Danny","Attacking Midfield",21,"Sporting CP","Liga NOS","Dinamo Moscow","Russian Premier Liga","2004",2.25,3,0.75,"Europe","Europe"
"1147","Sotiris Kyrgiakos","Centre-Back",25,"Panathinaikos","Greece Super League","Rangers","Premiership","2004",3.8,2.63,-1.17,"Europe","Europe"
"1148","Eric Djemba-Djemba","Defensive Midfield",23,"Man Utd","Premier League","Aston Villa","Premier League","2004",7,2.54,-4.46,"Big5","Big5"
"1149","Leandro Romagnoli","Attacking Midfield",23,"San Lorenzo","Primera División","Tiburones Rojos","Liga MX","2004",3,2.5,-0.5,"Americas","Americas"
"1150","Sergey Semak","Central Midfield",28,"CSKA Moscow","Russian Premier Liga","Paris SG","Ligue 1","2004",1,2.5,1.5,"Europe","Big5"
"1159","Júlio César","Goalkeeper",25,"Flamengo","Serie A","Inter","Serie A","2004",2,2.45,0.45,"Big5","Big5"
"1160","Fabrizio Miccoli","Centre-Forward",25,"Fiorentina","Serie A","Juventus","Serie A","2004",15,2.4,-12.6,"Big5","Big5"
"1161","Erik Hagen","Centre-Back",29,"Valerenga","Eliteserien","Zenit S-Pb","Russian Premier Liga","2004",2.4,2.4,0,"Europe","Europe"
"1164","Roger","Attacking Midfield",26,"Benfica","Liga NOS","Corinthians","Serie A","2004",1.5,2.3,0.8,"Europe","Big5"
"1167","Robbie Blake","Second Striker",28,"Burnley","Championship","Birmingham","Premier League","2004",1.75,2.25,0.5,"Big5 B","Big5"
"1168","Richard Chaplow","Central Midfield",20,"Burnley","Championship","West Brom","Premier League","2004",0.05,2.25,2.2,"Big5 B","Big5"
"1174","Emmanuel Eboué","Right-Back",21,"KSK Beveren","Jupiler Pro League","Arsenal","Premier League","2004",1.8,2.2,0.4,"Europe","Big5"
"1179","Jesper Gr?nkjaer","Left Winger",27,"Birmingham","Premier League","Atlético Madrid","LaLiga","2004",6.5,2,-4.5,"Big5","Big5"
"1180","Sonny Anderson","Centre-Forward",34,"Villarreal CF","LaLiga","Al Rayyan","Stars League","2004",4,2,-2,"Big5","Asia Africa"
"1181","Chong-gug Song","Right-Back",25,"Feyenoord","Eredivisie","Suwon Bluewings"," Korea, South","2004",2.8,2,-0.8,"Europe","Asia Africa"
"1182","Luís Loureiro","Defensive Midfield",28,"Braga","Liga NOS","Dinamo Moscow","Russian Premier Liga","2004",2.75,2,-0.75,"Europe","Europe"
"1183","Leandro","Left-Back",25,"Cruzeiro","Serie A","FC Porto","Liga NOS","2004",2.5,2,-0.5,"Big5","Europe"
"1184","Sebastian Mila","Attacking Midfield",22,"Grodzisk","Ekstraklasa","Austria Vienna","Bundesliga","2004",1.5,2,0.5,"Europe","Big5"
"1185","Léo Lima","Attacking Midfield",22,"Marítimo","Liga NOS","FC Porto","Liga NOS","2004",0.5,2,1.5,"Europe","Europe"
"1186","Aleksey Bugaev","Centre-Back",23,"Torpedo Moscow","Russian Premier Liga","Loko Moscow","Russian Premier Liga","2004",0.05,2,1.95,"Europe","Europe"
"1201","Davide Possanzini","Centre-Forward",28,"UC AlbinoLeffe","Serie B","US Palermo","Serie A","2004",0.05,1.9,1.85,"Big5 B","Big5"
