"","Position","Age","Team_from","Team_to","Season","Market_value","Transfer_fee","Price_diff"
"1000","Second Striker",20,"Boca Juniors","Corinthians","2004",15,15,0
"1002","Centre-Forward",18,"Lecce","Fiorentina","2004",13,14,1
"1005","Centre-Back",27,"CSKA Moscow","Chelsea","2004",5,12,7
"1010","Centre-Back",25,"Rangers","Newcastle","2004",8.5,11.3,2.8
"1012","Centre-Forward",25,"Man City","Fenerbahce","2004",15,10.7,-4.3
"1014","Attacking Midfield",20,"FC Porto","Corinthians","2004",6,10,4
"1022","Centre-Forward",28,"Real Madrid","Liverpool","2004",15,9.25,-5.75
"1024","Centre-Forward",26,"Southampton","Everton","2004",10,9,-1
"1032","Left Midfield",22,"Nottm Forest","Spurs","2004",3.5,8,4.5
"1037","Centre-Forward",29,"FC Porto","Dinamo Moscow","2004",10,7.5,-2.5
"1042","Defensive Midfield",27,"Blackburn","Rangers","2004",5.25,7.25,2
"1044","Centre-Back",21,"Nottm Forest","Spurs","2004",1,7,6
"1050","Centre-Forward",20,"Atalanta","Fiorentina","2004",3,6.5,3.5
"1053","Centre-Forward",23,"CD Cruz Azul","Villarreal CF","2004",3.25,6.2,2.95
"1055","Centre-Forward",21,"Crewe Alexandra","Norwich","2004",0.75,6,5.25
"1064","Centre-Forward",21,"Genoa","Atalanta","2004",0.2,5.4,5.2
"1068","Centre-Back",23,"AC Milan","Dep. La Coru?a","2004",8,5,-3
"1069","Left Winger",21,"FC Metz","Galatasaray","2004",4.5,5,0.5
"1079","Centre-Forward",24,"Werder Bremen","AFC Ajax","2004",6,4.9,-1.1
"1081","Central Midfield",30,"Birmingham","Blackburn","2004",5,4.5,-0.5
"1089","Left-Back",23,"Boca Juniors","Spartak Moscow","2004",3.5,4,0.5
"1090","Centre-Back",25,"Sparta Praha","Spartak Moscow","2004",0.05,4,3.95
"1091","Centre-Forward",23,"Atlas","PSV Eindhoven","2004",0.05,4,3.95
"1102","Right Winger",23,"Feyenoord","Rangers","2004",5.5,3.5,-2
"1103","Central Midfield",21,"Kashiwa Reysol","CSKA Moscow","2004",2.5,3.5,1
"1114","Defensive Midfield",28,"Everton","Real Madrid","2004",6,3.4,-2.6
"1119","Centre-Back",29,"Lecce","Catania","2004",1.25,3.2,1.95
"1121","Central Midfield",26,"Portsmouth","Southampton","2004",2.5,3.15,0.65
"1122","Defensive Midfield",27,"Portsmouth","Newcastle","2004",3,3,0
"1123","Attacking Midfield",21,"Sporting CP","Dinamo Moscow","2004",2.25,3,0.75
"1147","Centre-Back",25,"Panathinaikos","Rangers","2004",3.8,2.63,-1.17
"1148","Defensive Midfield",23,"Man Utd","Aston Villa","2004",7,2.54,-4.46
"1149","Attacking Midfield",23,"San Lorenzo","Tiburones Rojos","2004",3,2.5,-0.5
"1150","Central Midfield",28,"CSKA Moscow","Paris SG","2004",1,2.5,1.5
"1159","Goalkeeper",25,"Flamengo","Inter","2004",2,2.45,0.45
"1160","Centre-Forward",25,"Fiorentina","Juventus","2004",15,2.4,-12.6
"1161","Centre-Back",29,"Valerenga","Zenit S-Pb","2004",2.4,2.4,0
"1164","Attacking Midfield",26,"Benfica","Corinthians","2004",1.5,2.3,0.8
"1167","Second Striker",28,"Burnley","Birmingham","2004",1.75,2.25,0.5
"1168","Central Midfield",20,"Burnley","West Brom","2004",0.05,2.25,2.2
"1174","Right-Back",21,"KSK Beveren","Arsenal","2004",1.8,2.2,0.4
"1179","Left Winger",27,"Birmingham","Atlético Madrid","2004",6.5,2,-4.5
"1180","Centre-Forward",34,"Villarreal CF","Al Rayyan","2004",4,2,-2
"1181","Right-Back",25,"Feyenoord","Suwon Bluewings","2004",2.8,2,-0.8
"1182","Defensive Midfield",28,"Braga","Dinamo Moscow","2004",2.75,2,-0.75
"1183","Left-Back",25,"Cruzeiro","FC Porto","2004",2.5,2,-0.5
"1184","Attacking Midfield",22,"Grodzisk","Austria Vienna","2004",1.5,2,0.5
"1185","Attacking Midfield",22,"Marítimo","FC Porto","2004",0.5,2,1.5
"1186","Centre-Back",23,"Torpedo Moscow","Loko Moscow","2004",0.05,2,1.95
"1201","Centre-Forward",28,"UC AlbinoLeffe","US Palermo","2004",0.05,1.9,1.85
"1203","Centre-Back",32,"Br?ndby IF","Southampton","2004",2,1.8,-0.2
"1204","Right Winger",26,"Wisla Kraków","FK Moskau","2004",1.75,1.8,0.05
"1217","Left Midfield",28,"Trabzonspor","Dinamo Moscow","2004",2.2,1.6,-0.6
"1220","Attacking Midfield",20,"Dinamo Zagreb","Hajduk Split","2004",5,1.5,-3.5
"1221","Left-Back",28,"Cruzeiro","Villarreal CF","2004",4,1.5,-2.5
"1222","Attacking Midfield",23,"Palmeiras","VfB Stuttgart","2004",1.2,1.5,0.3
"1223","Centre-Forward",24,"Chicago Fire","Rubin Kazan","2004",1,1.5,0.5
"1224","Defensive Midfield",26,"Egaleo AO","Portsmouth","2004",0.8,1.5,0.7
"1225","Defensive Midfield",21,"?sters IF","Helsingborg","2004",0.05,1.5,1.45
"1233","Defensive Midfield",22,"Olympique Lyon","Chelsea","2005",45,38,-7
"1234","Right Winger",23,"Man City","Chelsea","2005",9.5,31.5,22
"1235","Centre-Back",19,"Sevilla FC","Real Madrid","2005",27,27,0
"1236","Centre-Forward",25,"Real Madrid","Newcastle","2005",22,25,3
"1237","Centre-Forward",23,"Parma","AC Milan","2005",20,25,5
"1238","Left Winger",21,"Santos FC","Real Madrid","2005",25,24,-1
"1239","Defensive Midfield",29,"Arsenal","Juventus","2005",35,20,-15
"1240","Attacking Midfield",23,"Sevilla FC","Real Madrid","2005",25,20,-5
"1241","Left Winger",27,"Dep. La Coru?a","Newcastle","2005",20,20,0
"1242","Central Midfield",27,"FC Porto","Dinamo Moscow","2005",18,16,-2
"1243","Centre-Back",27,"Real Madrid","Inter","2005",17,16,-1
"1244","Centre-Forward",21,"Cruzeiro","Olympique Lyon","2005",7.5,15.6,8.1
"1245","Central Midfield",22,"Newcastle","Spurs","2005",9,15,6
"1246","Attacking Midfield",24,"VfB Stuttgart","Arsenal","2005",8.5,15,6.5
"1247","Left-Back",24,"Athletic Bilbao","Chelsea","2005",12,12,0
"1248","Central Midfield",25,"Udinese Calcio","Inter","2005",12,12,0
"1249","Centre-Forward",23,"Real Zaragoza","Valencia CF","2005",12,12,0
"1250","Defensive Midfield",20,"Valencia CF","Liverpool","2005",4,12,8
"1251","Defensive Midfield",21,"River Plate","Corinthians","2005",11.8,11.8,0
"1252","Centre-Forward",22,"Norwich","West Ham","2005",6.5,10.89,4.39
"1253","Centre-Forward",24,"Southampton","Liverpool","2005",10.5,10.5,0
"1254","Centre-Back",24,"Spartak Moscow","Man Utd","2005",8.5,10.5,2
"1255","Right Winger",16,"Southampton","Arsenal","2005",2.5,10.5,8
"1256","Central Midfield",24,"River Plate","FC Porto","2005",6,10.25,4.25
"1257","Central Midfield",24,"Chelsea","Olympique Lyon","2005",10,10.1,0.0999999999999996
"1258","Centre-Forward",28,"US Palermo","Fiorentina","2005",15,10,-5
"1259","Centre-Forward",24,"FC Porto","Sevilla FC","2005",10,10,0
"1260","Right-Back",24,"FC Porto","Dinamo Moscow","2005",8,10,2
"1261","Centre-Forward",21,"Monaco","Arsenal","2005",7.5,10,2.5
"1262","Left Winger",26,"VfL Wolfsburg","Atlético Madrid","2005",7,10,3
"1263","Goalkeeper",22,"Villarreal CF","Liverpool","2005",4.5,9.8,5.3
"1264","Centre-Forward",22,"Portsmouth","Middlesbrough","2005",9.5,9.75,0.25
"1265","Centre-Forward",26,"Chelsea","Atlético Madrid","2005",13.5,9,-4.5
"1266","Right Winger",25,"Inter","Everton","2005",12.5,9,-3.5
"1267","Central Midfield",24,"Chelsea","Newcastle","2005",11,9,-2
"1268","Centre-Forward",22,"Heerenveen","AFC Ajax","2005",4.75,9,4.25
"1269","Centre-Forward",23,"Liverpool","Aston Villa","2005",17.5,8.84,-8.66
"1270","Centre-Back",21,"Br?ndby IF","Liverpool","2005",0.4,8.76,8.36
"1271","Left-Back",28,"Udinese Calcio","AC Milan","2005",20,8.5,-11.5
"1272","Centre-Back",29,"Werder Bremen","Bayern Munich ","2005",8.5,8.5,0
"1273","Right Winger",27,"AJ Auxerre","Paris SG","2005",7.5,8.5,1
"1274","Left Winger",20,"Heerenveen","Man City","2005",3,8.5,5.5
"1275","Right-Back",25,"Benfica","Valencia CF","2005",15,8,-7
"1276","Centre-Forward",23,"Brescia","US Palermo","2005",8,8,0
"1277","Left-Back",24,"Monaco","Man Utd","2005",6.5,8,1.5
"1278","Central Midfield",24,"Juventus","Fenerbahce","2005",6,8,2
"1279","Defensive Midfield",20,"Atlético-PR","Shakhtar D.","2005",0.5,7.8,7.3
"1280","Centre-Back",20,"Fiorentina","Juventus","2005",9,7.7,-1.3
"1281","Centre-Forward",25,"Besiktas","Olympique Lyon","2005",7,7.6,0.6
"1282","Centre-Forward",28,"AC Milan","VfB Stuttgart","2005",15,7.5,-7.5
"1283","Left Winger",26,"Newcastle","Blackburn","2005",9,7.5,-1.5
"1284","Defensive Midfield",24,"Marseille","Olympique Lyon","2005",9,7.5,-1.5
"1285","Attacking Midfield",29,"Inter","Parma","2005",6,7.5,1.5
"1286","Centre-Forward",22,"Atalanta","US Palermo","2005",5,7.5,2.5
"1287","Attacking Midfield",24,"PSV Eindhoven","Man Utd","2005",5,7.3,2.3
"1288","Centre-Forward",25,"R. Strasbourg","Marseille","2005",5,7,2
"1289","Centre-Forward",23,"VfB Stuttgart","FC Schalke 04","2005",8,6.9,-1.1
"1290","Centre-Back",25,"Udinese Calcio","Everton","2005",7,6.8,-0.2
"1291","Centre-Forward",27,"Spurs","Sevilla FC","2005",7.5,6.5,-1
"1292","Centre-Forward",28,"Wolves","Wigan","2005",3.5,6.45,2.95
"1293","Right-Back",24,"AZ Alkmaar","Villarreal CF","2005",8,6,-2
"1294","Left Winger",23,"Lens","Stade Rennais","2005",7,6,-1
"1295","Attacking Midfield",25,"G. Bordeaux","Monaco","2005",6,6,0
"1296","Centre-Forward",27,"AJ Auxerre","Portsmouth","2005",4,6,2
"1297","Centre-Back",22,"Sporting CP","Dinamo Moscow","2005",2.25,6,3.75
"1298","Left-Back",23,"Arezzo","Fiorentina","2005",1.7,6,4.3
"1299","Defensive Midfield",20,"Genoa","Lazio","2005",0.5,6,5.5
"1302","Second Striker",23,"AS Roma","Real Madrid","2005",24,5.5,-18.5
"1303","Defensive Midfield",20,"Atalanta","Fiorentina","2005",5,5.5,0.5
"1304","Centre-Forward",22,"Malm? FF","AFC Ajax","2005",5.5,5.3,-0.2
"1305","Right-Back",28,"Man Utd","Everton","2005",5,5.3,0.3
"1306","Right Midfield",25,"Spurs","Everton","2005",5.5,5.25,-0.25
"1308","Attacking Midfield",22,"AFC Ajax","Hamburger SV","2005",8,5.1,-2.9
"1309","Central Midfield",24,"Inter","Newcastle","2005",12,5,-7
"1310","Defensive Midfield",28,"Bayern Munich ","Werder Bremen","2005",9,5,-4
"1311","Left Winger",24,"Espanyol","Atlético Madrid","2005",7,5,-2
"1312","Defensive Midfield",28,"Club Brugge","PSV Eindhoven","2005",5,5,0
"1313","Centre-Back",24,"FC Sochaux","Olympique Lyon","2005",5,5,0
"1314","Centre-Forward",18,"Corinthians","CSKA Moscow","2005",5,5,0
"1315","Right-Back",19,"Coritiba FC","FC Schalke 04","2005",4.5,5,0.5
"1316","Centre-Back",21,"FC Sochaux","Toulouse","2005",3.5,5,1.5
"1317","Right-Back",21,"River Plate","Real Madrid","2005",2.5,5,2.5
"1318","Central Midfield",22,"Br?ndby IF","AJ Auxerre","2005",1.5,5,3.5
"1319","Second Striker",19,"Treviso","Udinese Calcio","2005",1,5,4
"1320","Centre-Back",20,"Atalanta","Cagliari Calcio","2005",0.25,5,4.75
"1321","Centre-Forward",24,"Liverpool","Bolton","2005",6.5,4.8,-1.7
