"","Position","Age","League_from","League_to","Season","Market_value","Transfer_fee","Price_diff"
"1000","Second Striker",20," Argentina","Serie A","2004",15,15,0
"1002","Centre-Forward",18,"Serie A","Serie A","2004",13,14,1
"1005","Centre-Back",27,"Premier Liga","Premier League","2004",5,12,7
"1010","Centre-Back",25,"Premiership","Premier League","2004",8.5,11.3,2.8
"1012","Centre-Forward",25,"Premier League","Süper Lig","2004",15,10.7,-4.3
"1014","Attacking Midfield",20,"Liga NOS","Serie A","2004",6,10,4
"1022","Centre-Forward",28,"LaLiga","Premier League","2004",15,9.25,-5.75
"1024","Centre-Forward",26,"Premier League","Premier League","2004",10,9,-1
"1032","Left Midfield",22,"Championship","Premier League","2004",3.5,8,4.5
"1037","Centre-Forward",29,"Liga NOS","Premier Liga","2004",10,7.5,-2.5
"1042","Defensive Midfield",27,"Premier League","Premiership","2004",5.25,7.25,2
"1044","Centre-Back",21,"Championship","Premier League","2004",1,7,6
"1050","Centre-Forward",20,"Serie A","Serie A","2004",3,6.5,3.5
"1053","Centre-Forward",23," Mexico","LaLiga","2004",3.25,6.2,2.95
"1055","Centre-Forward",21,"Championship","Premier League","2004",0.75,6,5.25
"1064","Centre-Forward",21,"Serie B","Serie A","2004",0.2,5.4,5.2
"1068","Centre-Back",23,"Serie A","LaLiga","2004",8,5,-3
"1069","Left Winger",21,"Ligue 1","Süper Lig","2004",4.5,5,0.5
"1079","Centre-Forward",24,"Bundesliga","Eredivisie","2004",6,4.9,-1.1
"1081","Central Midfield",30,"Premier League","Premier League","2004",5,4.5,-0.5
"1089","Left-Back",23," Argentina","Premier Liga","2004",3.5,4,0.5
"1090","Centre-Back",25,"HET Liga","Premier Liga","2004",0.05,4,3.95
"1091","Centre-Forward",23," Mexico","Eredivisie","2004",0.05,4,3.95
"1102","Right Winger",23,"Eredivisie","Premiership","2004",5.5,3.5,-2
"1103","Central Midfield",21,"J1 League","Premier Liga","2004",2.5,3.5,1
"1114","Defensive Midfield",28,"Premier League","LaLiga","2004",6,3.4,-2.6
"1119","Centre-Back",29,"Serie A","Serie B","2004",1.25,3.2,1.95
"1121","Central Midfield",26,"Premier League","Premier League","2004",2.5,3.15,0.65
"1122","Defensive Midfield",27,"Premier League","Premier League","2004",3,3,0
"1123","Attacking Midfield",21,"Liga NOS","Premier Liga","2004",2.25,3,0.75
"1147","Centre-Back",25,"Super League","Premiership","2004",3.8,2.63,-1.17
"1148","Defensive Midfield",23,"Premier League","Premier League","2004",7,2.54,-4.46
"1149","Attacking Midfield",23," Argentina"," Mexico","2004",3,2.5,-0.5
"1150","Central Midfield",28,"Premier Liga","Ligue 1","2004",1,2.5,1.5
"1159","Goalkeeper",25,"Serie A","Serie A","2004",2,2.45,0.45
"1160","Centre-Forward",25,"Serie A","Serie A","2004",15,2.4,-12.6
"1161","Centre-Back",29,"Eliteserien","Premier Liga","2004",2.4,2.4,0
"1164","Attacking Midfield",26,"Liga NOS","Serie A","2004",1.5,2.3,0.8
"1167","Second Striker",28,"Championship","Premier League","2004",1.75,2.25,0.5
"1168","Central Midfield",20,"Championship","Premier League","2004",0.05,2.25,2.2
"1174","Right-Back",21,"Jupiler Pro League","Premier League","2004",1.8,2.2,0.4
"1179","Left Winger",27,"Premier League","LaLiga","2004",6.5,2,-4.5
"1180","Centre-Forward",34,"LaLiga"," Qatar","2004",4,2,-2
"1181","Right-Back",25,"Eredivisie"," Korea, South","2004",2.8,2,-0.8
"1182","Defensive Midfield",28,"Liga NOS","Premier Liga","2004",2.75,2,-0.75
