"","season","player.name","player.position","player.age","player.nationality","from.name","from.country","from.league","to.name","to.country","to.league","transfer.value"
"1","2019/2020","Bogdan Mladenovic","Attacking Midfield","23","Serbia","Rad","Serbia","Linglong Tire Super liga Srbije","Gil Vicente","Portugal","Liga NOS","?"
"2","2019/2020","Artur Aymetdinov","Right Midfield","27","Russia","Yevpatoria","Russia","","TSK-Tavriya","Russia","","?"
"3","2019/2020","Petter Mathias Olsen","Central Midfield","21","Norway","Lillestrøm SK","Norway","Eliteserien","Grorud IL","Norway","PostNord-ligaen Avd. 2","?"
"4","2019/2020","Zakaria Boukhalfaya","Goalkeeper","21","Algeria","NA Hussein Dey","Algeria","Ligue Professionnelle 1","CABB Arreridj","Algeria","Ligue Professionnelle 1","?"
"5","2019/2020","Krzysztof Sztukowski","Goalkeeper","19","Poland","Wigry Suwalki","Poland","1 Liga","Sparta Augustow","Poland","","?"
"6","2019/2020","Julio Donisa","Centre-Forward","25","Martinique","Red Star FC","France","Championnat National","Clermont Foot","France","Ligue 2","?"
"7","2019/2020","Dru Yearwood","Central Midfield","19","England","Southend United","England","League One","Brentford","England","Championship","?"
"8","2019/2020","Ehsan Mahdavi","Centre-Back","","Iran","Khooneh","Iran","","Rayka Babol","Iran","Azadegan League","?"
"9","2019/2020","Ebrahim Alizadeh","Central Midfield","","Iran","Khooneh","Iran","","Rayka Babol","Iran","Azadegan League","?"
"10","2019/2020","Daniel Frahn","Centre-Forward","32","Germany","Chemnitzer FC","Germany","3. Liga","","","","-"
"11","2019/2020","Pedro Henrique","Goalkeeper","33","Brazil","","","","","","","-"
"12","2019/2020","Jong-eun Im","Centre-Back","29","Korea, South","","","","FC Pocheon","Korea, South","","-"
"13","2019/2020","Levi","Defensive Midfield","29","Brazil","AA Portuguesa","Brazil","","","","","-"
"14","2019/2020","Francesco Mannoni","Central Midfield","27","Italy","Gela","Italy","","","","","-"
"15","2019/2020","Reda Jaadi","Forward","24","Belgium","Dinamo Bukarest","Romania","Liga 1","","","","-"
"16","2019/2020","Mehrdad Pooladi","Left-Back","32","Iran","","","","Al Kharitiyat","Qatar","","-"
"17","2019/2020","Francesco","Defensive Midfield","28","Brazil","AA Anapolina","Brazil","","","","","-"
"18","2019/2020","Eirik Birkelund","Defensive Midfield","25","Norway","Sogndal","Norway","OBOS-ligaen","","","","-"
"19","2019/2020","Jonathan Bijimine","Centre-Back","25","DR Congo","","","","Alcorcón","Spain","LaLiga2","-"
"20","2019/2020","Cafer Tosun","Central Midfield","19","Turkey","Trabzonspor","Turkey","Süper Lig","Trabzonspor U19","Turkey","Türkiye Ligi U19 Elit A","-"
"21","2019/2020","Sercan Yilmaz","Goalkeeper","26","Turkey","Etimesgut Bld","Turkey","2.Lig Kirmizi","","","","-"
"22","2019/2020","Selim Avci","Left-Back","25","Germany","Etimesgut Bld","Turkey","2.Lig Kirmizi","","","","-"
