"","club_name","player_name","age","position","club_involved_name","transfer_movement","fee_cleaned","league_name","year","transfer_loan"
"14","AC Milan","Kevin-Prince Boateng",26,"Attacking Midfield","FC Schalke 04","out",9,"Serie A",2013,FALSE
"15","AC Milan","Rodney Strasser",23,"Defensive Midfield","Genoa","out",3.15,"Serie A",2013,FALSE
"16","AC Milan","Bartosz Salamon",22,"Centre-Back","Sampdoria","out",3.06,"Serie A",2013,FALSE
"17","AC Milan","Michelangelo Albertazzi",22,"Left-Back","Hellas Verona","out",0.45,"Serie A",2013,FALSE
"18","AC Milan","Cristian Daminuta",23,"Defensive Midfield","FC Viitorul","out",0,"Serie A",2013,TRUE
"19","AC Milan","Bakaye Traoré",28,"Central Midfield","K. Erciyesspor","out",0,"Serie A",2013,TRUE
"20","AC Milan","Luca Antonini",31,"Left-Back","Genoa","out",0,"Serie A",2013,FALSE
"21","AC Milan","Mathieu Flamini",29,"Defensive Midfield","Arsenal","out",0,"Serie A",2013,FALSE
"22","AC Milan","Adrià Carmona",21,"Left Winger","Girona","out",0,"Serie A",2013,FALSE
"23","AC Milan","Pelé",21,"Defensive Midfield","Olhanense","out",0,"Serie A",2013,TRUE
"24","AC Milan","Mario Yepes",37,"Centre-Back","Atalanta","out",0,"Serie A",2013,FALSE
"25","AC Milan","Massimo Ambrosini",36,"Central Midfield","Fiorentina","out",0,"Serie A",2013,FALSE
"26","AC Milan","Taye Taiwo",28,"Left-Back","Bursaspor","out",0,"Serie A",2013,FALSE
"27","AC Milan","Marco Gaeta",21,"Centre-Forward","Teramo","out",0,"Serie A",2013,TRUE
"28","AC Milan","Andrea Petagna",18,"Centre-Forward","Sampdoria","out",0,"Serie A",2013,TRUE
"29","AC Milan","Attila Filkor",25,"Central Midfield","LB Châteauroux","out",0,"Serie A",2013,TRUE
"30","AC Milan","Gianmario Comi",21,"Centre-Forward","Novara","out",0,"Serie A",2013,TRUE
"31","AC Milan","Mattia Desolé",20,"Left-Back","FC Chiasso","out",0,"Serie A",2013,TRUE
"32","AC Milan","Rodrigo Ely",19,"Centre-Back","Varese","out",0,"Serie A",2013,TRUE
