"","club_name","player_name","age","position","club_involved_name","transfer_movement","fee_cleaned","league_name","year","transfer_loan"
"1","AC Milan","Alessandro Matri",29,"Centre-Forward","Juventus","in",9.9,"Serie A",2013,FALSE
"2","AC Milan","Cristián Zapata",26,"Centre-Back","Villarreal","in",9,"Serie A",2013,FALSE
"3","AC Milan","Andrea Poli",23,"Central Midfield","Sampdoria","in",5.4,"Serie A",2013,FALSE
"4","AC Milan","Riccardo Saponara",21,"Attacking Midfield","FC Empoli","in",4.32,"Serie A",2013,FALSE
"5","AC Milan","Giacomo Beretta",21,"Centre-Forward","Genoa","in",3.6,"Serie A",2013,FALSE
"6","AC Milan","Valter Birsa",27,"Attacking Midfield","Genoa","in",2.7,"Serie A",2013,FALSE
"7","AC Milan","Jherson Vergara",19,"Centre-Back","Quindío","in",2.18,"Serie A",2013,FALSE
"8","AC Milan","Matías Silvestre",28,"Centre-Back","Inter","in",0.9,"Serie A",2013,TRUE
"9","AC Milan","Ferdinando Coppola",35,"Goalkeeper","Torino","in",0,"Serie A",2013,FALSE
"10","AC Milan","Kaká",31,"Attacking Midfield","Real Madrid","in",0,"Serie A",2013,FALSE
"11","AC Milan","Bryan Cristante",18,"Central Midfield","Milan U19","in",0,"Serie A",2013,FALSE
"12","AC Milan","Andrea Petagna",18,"Centre-Forward","Milan U19","in",0,"Serie A",2013,FALSE
"13","AC Milan","Pontons Paz",18,"Left Winger","Milan U19","in",0,"Serie A",2013,FALSE
"47","Atalanta BC","Luca Cigarini",27,"Defensive Midfield","SSC Napoli","in",3.78,"Serie A",2013,FALSE
"48","Atalanta BC","Constantin Nica",20,"Right-Back","Dinamo Bucarest","in",1.44,"Serie A",2013,FALSE
"49","Atalanta BC","Prince Gouano",19,"Centre-Back","Juventus","in",1.31,"Serie A",2013,FALSE
"50","Atalanta BC","Daniele Baselli",21,"Central Midfield","Cittadella","in",0.72,"Serie A",2013,FALSE
"51","Atalanta BC","Luigi Giorgi",26,"Central Midfield","Novara","in",0.72,"Serie A",2013,FALSE
"52","Atalanta BC","Giuseppe De Luca",21,"Centre-Forward","Varese","in",0.54,"Serie A",2013,FALSE
"53","Atalanta BC","Giulio Migliaccio",32,"Central Midfield","US Palermo","in",0.27,"Serie A",2013,FALSE
"54","Atalanta BC","Leonardo Gatto",21,"Left Winger","AC Pisa","in",0.068,"Serie A",2013,FALSE
"55","Atalanta BC","Mario Yepes",37,"Centre-Back","AC Milan","in",0,"Serie A",2013,FALSE
"56","Atalanta BC","Roberto Gagliardini",19,"Central Midfield","Atalanta U19","in",0,"Serie A",2013,FALSE
"83","Chievo Verona","Dejan Lazarevic",23,"Left Winger","Genoa","in",1.35,"Serie A",2013,FALSE
"84","Chievo Verona","Ivan Radovanovic",24,"Defensive Midfield","Atalanta","in",0.72,"Serie A",2013,FALSE
"85","Chievo Verona","Yohan Tavares",25,"Centre-Back","Standard Liège","in",0.45,"Serie A",2013,FALSE
"86","Chievo Verona","Tomasz Kupisz",23,"Right Midfield","Jagiellonia","in",0.45,"Serie A",2013,FALSE
"87","Chievo Verona","Matteo Ardemagni",26,"Centre-Forward","Atalanta","in",0.45,"Serie A",2013,TRUE
"88","Chievo Verona","Claiton",28,"Centre-Back","Bari","in",0.09,"Serie A",2013,FALSE
"89","Chievo Verona","Malick Mbaye",17,"Central Midfield","Trento","in",0,"Serie A",2013,FALSE
"90","Chievo Verona","Alessio Sestu",29,"Right Winger","Siena","in",0,"Serie A",2013,FALSE
"91","Chievo Verona","Alessandro Bernardini",26,"Centre-Back","AS Livorno","in",0,"Serie A",2013,TRUE
"92","Chievo Verona","Marcelo Estigarribia",25,"Left Midfield","Maldonado","in",0,"Serie A",2013,TRUE
"93","Chievo Verona","Riccardo Improta",19,"Left Winger","Genoa","in",0,"Serie A",2013,TRUE
"94","Chievo Verona","Manuel Pamic",26,"Left-Back","Sparta Praha","in",0,"Serie A",2013,TRUE
"95","Chievo Verona","Maxwell Acosty",21,"Right Winger","Fiorentina","in",0,"Serie A",2013,TRUE
"96","Chievo Verona","Caleb Ekuban",19,"Centre-Forward","Chievo U19","in",0,"Serie A",2013,FALSE
"134","Bologna FC 1909","Riccardo Casini",21,"Defensive Midfield","Parma","in",1.8,"Serie A",2013,FALSE
"135","Bologna FC 1909","Damjan Djokovic",23,"Central Midfield","Cesena","in",1.26,"Serie A",2013,FALSE
"136","Bologna FC 1909","Andrea Romanò",19,"Central Midfield","Inter","in",1.13,"Serie A",2013,FALSE
"137","Bologna FC 1909","Andrea Bandini",19,"Right-Back","Inter U19","in",1.13,"Serie A",2013,FALSE
